伝票番号,日付,区分,赤伝,コード,会社名,税率,税区分,担当者,コード,会社名,請求予定日,明細番号,明細区分,品番,品名,数量,単価,原単価,今月請求額,付箋1,付箋2,前金,入金種別
1,2020/12/7,2,1,A9099228097,桃香縁（栄）,4,1,26,A9099228097,桃香縁（栄）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,10000,0,10000,2,2,前払,コンビニ
2,2020/12/7,2,1,A0542557668,癒苑（静岡市）,4,1,26,A0542557668,癒苑（静岡市）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
3,2020/12/7,2,1,A0566931105,蝶 バタフライ（安城）,4,1,26,A0566931105,蝶 バタフライ（安城）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
4,2020/12/7,2,1,A9099228097,LOVE姫,4,1,26,A9099228097,LOVE姫,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
5,2020/12/7,2,1,A7016145274,美仙~ミセン（知多）,4,1,26,A7016145274,美仙~ミセン（知多）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
6,2020/12/7,2,1,A0562857867,身楽~みらく（知多）,4,1,26,A0562857867,身楽~みらく（知多）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
7,2020/12/7,2,1,A8036121888,エンジェル（蒲郡）,4,1,26,A8036121888,エンジェル（蒲郡）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
8,2020/12/7,2,1,A0566457139,未来（安城）,4,1,26,A0566457139,未来（安城）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
9,2020/12/7,2,1,A0566913166,心の魅惑(刈谷),4,1,26,A0566913166,心の魅惑(刈谷),2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
10,2020/12/7,2,1,A0564642083,雪縁~せつえん（岡崎）,4,1,26,A0564642083,雪縁~せつえん（岡崎）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
11,2020/12/7,2,1,A0569228868,胡蝶蘭（半田市）,4,1,26,A0569228868,胡蝶蘭（半田市）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
12,2020/12/7,2,1,A0542531018,癒しの空間 優（静岡市）,4,1,26,A0542531018,癒しの空間 優（静岡市）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
13,2020/12/7,2,1,C0562326889,癒しの森(知多),4,1,26,C0562326889,癒しの森(知多),2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,10000,0,10000,2,2,前払,コンビニ
14,2020/12/7,2,1,A0533819260,和心堂（豊川）,4,1,26,A0533819260,和心堂（豊川）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
15,2020/12/7,2,1,B0566215122,猫姫（刈谷）,4,1,26,B0566215122,猫姫（刈谷）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
16,2020/12/7,2,1,A8036221550,桜（豊橋）,4,1,26,A8036221550,桜（豊橋）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
17,2020/12/7,2,1,C8051579039,アワ（刈谷）,4,1,26,C8051579039,アワ（刈谷）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
18,2020/12/7,2,1,A0527469869,ピーチランド（栄）,4,1,26,A0527469869,ピーチランド（栄）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
19,2020/12/7,2,1,A0527469471,魅惑のユートピア,4,1,26,A0527469471,魅惑のユートピア,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
20,2020/12/7,2,1,B0566252009,チャーミング（刈谷）,4,1,26,B0566252009,チャーミング（刈谷）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
21,2020/12/7,2,1,A0542513499,野崎（やすらぎ様分）,4,1,26,A0542513499,野崎（やすらぎ様分）,2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
22,2020/12/7,2,1,C8036677343,億夢(阿久比),4,1,26,C8036677343,億夢(阿久比),2020/12/10,1,1,M003,MSビルダー月額使用料金 01月分,1,15000,0,15000,2,2,前払,コンビニ
